[GIN] 2026/08/05 - 14:24:17 | 200 |   7.36ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:17 | 200 | 18.044µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:17 | 200 |   4.02ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:17 | 200 |   6.92ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:17 | 200 |   3.94ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:17 | 200 |   6.24ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:17 | 200 | 26.956µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:17 | 200 |    3.5ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:18 | 304 |    5.1ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:18 | 304 |   2.73ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:18 | 304 |   3.16ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:18 | 200 | 17.018µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:18 | 304 |   4.17ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:18 | 304 |   6.11ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:18 | 200 | 43.567µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:18 | 304 |   5.86ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:18 | 200 | 27.532µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:18 | 304 |   6.12ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:18 | 200 | 19.489µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:18 | 304 |   5.53ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:18 | 304 |   2.85ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:18 | 304 |   2.76ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:18 | 200 | 16.954µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:18 | 304 |   3.21ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:19 | 304 |   5.52ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:19 | 304 |   3.29ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:19 | 304 |   3.56ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:19 | 200 | 23.876µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:19 | 304 |   2.81ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:19 | 304 |   3.36ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:19 | 200 | 19.265µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:19 | 304 |   4.02ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:19 | 200 | 33.139µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:24 | 200 |  60.28ms |             ::1 | POST     "/api/auth/login"
[GIN] 2026/08/05 - 14:24:24 | 304 |   3.34ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:24 | 200 |  35.92ms |             ::1 | GET      "/assets/ChatPage-CIJ2Aj7G.js"
[GIN] 2026/08/05 - 14:24:24 | 200 |  49.35ms |             ::1 | GET      "/assets/transactions-BfNu-fE4.js"
[GIN] 2026/08/05 - 14:24:24 | 200 | 81.036µs |             ::1 | GET      "/api/transactions"
[GIN] 2026/08/05 - 14:24:26 | 304 |   4.08ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:31 | 304 |    3.5ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:31 | 304 |   3.32ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:31 | 304 |   3.62ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:31 | 200 | 19.805µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:31 | 304 |    4.3ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:31 | 304 |   6.58ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:31 | 200 | 21.481µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:32 | 200 |   5.42ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:32 | 200 |   3.42ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:32 | 200 |   5.54ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:32 | 200 | 15.434µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:32 | 200 |   3.85ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:37 | 200 |   5.59ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:37 | 200 |   2.87ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:37 | 200 |   5.29ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
